2, 8, 130
6, 8, 140
10, 8, 150

2, 9, 131
6, 9, 141
10, 9, 151
1, 8, 131
5, 8, 141
9, 8, 151
31, 8, 131
35, 8, 141
39, 8, 151
41, 8, 131
45, 8, 141
49, 8, 151
3, 8, 131
7, 8, 141
11, 8, 151
31, 5, 131
35, 5, 141
39, 5, 151
11, 1, 131
15, 1, 141
19, 1, 151
1, 8, 131
5, 8, 141
9, 8, 151
31, 3, 131
35, 3, 141
39, 3, 151
21, 5, 131
25, 5, 141
29, 5, 151
21, 7, 131
25, 7, 141
29, 7, 151
21, 6, 131
25, 6, 141
29, 6, 151
21, 4, 131
25, 4, 141
29, 4, 151
21, 3, 131
25, 3, 141
29, 3, 151
22, 4, 131
26, 4, 141
30, 4, 151
22, 5, 131
26, 5, 141
30, 5, 151
22, 6, 131
26, 6, 141
30, 6, 151
22, 7, 131
26, 7, 141
30, 7, 151
22, 8, 131
26, 8, 141
30, 8, 151
22, 9, 131
26, 9, 141
30, 9, 151
22, 10, 131
26, 10, 141
30, 10, 151
22, 11, 131
26, 11, 141
30, 11, 151
22, 12, 131
26, 12, 141
30, 12, 151
22, 13, 131
26, 13, 141
30, 13, 151
22, 14, 131
26, 14, 141
30, 14, 151
22, 15, 131
26, 15, 141
30, 15, 151
21, 15, 131
25, 15, 141
29, 15, 151
21, 14, 131
25, 14, 141
29, 14, 151
21, 13, 131
25, 13, 141
29, 13, 151
21, 12, 131
25, 12, 141
29, 12, 151
21, 11, 131
25, 11, 141
29, 11, 151
21, 10, 131
25, 10, 141
29, 10, 151



16, 4, 54
17, 3, 54
15, 3, 54
16, 3, 53
15, 4, 54
15, 4, 54
15, 4, 51

18, 3, 51
19, 3, 50
18, 4, 55

14, 4, 54

14, 5, 62
14, 5, 61
14, 5, 63

17, 4, 114
16, 5, 115
14, 4, 125
15, 5, 85
16, 6, 85
16, 7, 85
15, 6, 85
15, 5, 85
15, 6, 85
15, 7, 85
16, 5, 85
14, 7, 85
13, 6, 114
17, 6, 114
17, 7, 32
16, 8, 32
14, 6, 56
13, 7, 56

25, 25, 55
26, 25, 55
27, 25, 55
25, 26, 55
24, 27, 55
